brand,name,year_introduced,year_discontinued,num_strings,scale_length_min_inches,scale_length_max_inches,num_frets,fret_material,is_fretless,fretboard_material,fretboard_radius,neck_construction,neck_material,neck_profile,neck_depth_1st_fret_mm,neck_depth_12th_fret_mm,nut_width_mm,body_material,body_shape,headstock_type,selector_switch,country_of_origin,bridge,nut,tuners,pickup_bridge,pickup_middle,pickup_neck
Ibanez,RGD61ALMS,2019,,6,25.5,26.8,24,Stainless steel,false,Macassar Ebony,,Bolt-on,Nyatoh,Nitro Wizard,,,,Nyatoh,Superstrat,6-in-line,3-way + push-pull,Indonesia,Mono-rail,Ibanez Plastic Nut,Gotoh MG-T Locking,Fluence Modern H,,Fluence Modern H
Ibanez,RGD71ALMS,2019,,7,25.5,27.0,24,Stainless steel,false,Macassar Ebony,,Bolt-on,Nyatoh,Nitro Wizard,,,,Nyatoh,Superstrat,7-in-line,3-way + push-pull,Indonesia,Mono-rail 7,Ibanez Plastic Nut,Gotoh MG-T Locking 7,Fluence Modern H,,Fluence Modern H
Ibanez,RGDMS8,2022,,8,25.5,27.2,24,Stainless steel,false,Macassar Ebony,,Bolt-on,5-piece Maple/Walnut,Wizard III,,,,Nyatoh,Superstrat,8-in-line,3-way + push-pull,Indonesia,Mono-rail 8,Ibanez Plastic Nut,Gotoh MG-T Locking 8,Fluence Modern H,,Fluence Modern H
Ibanez,RGA42FM,2013,,6,25.5,25.5,24,Nickel-silver,false,Jatoba,,Bolt-on,3-piece Maple,Wizard III,,,,Meranti,Superstrat,6-in-line,5-way,Indonesia,F106,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Quantum Humbucker,,Quantum Humbucker
Ibanez,S521,2015,,6,25.5,25.5,24,Nickel-silver,false,Jatoba,,Bolt-on,Maple,Wizard III,,,,Mahogany,Superstrat,6-in-line,5-way,Indonesia,Mono-rail,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Quantum Humbucker,,Quantum Humbucker
Ibanez,S5470,2007,2012,6,25.5,25.5,24,Nickel-silver,false,Rosewood,,Bolt-on,Maple/Walnut,Wizard,,,,Mahogany,Superstrat,6-in-line,5-way,Japan,Edge Zero II,Ibanez Locking Nut,Gotoh MG-T Locking,Quantum Humbucker,Resolution Single,Quantum Humbucker
Ibanez,S1070PBZ,2016,,6,25.5,25.5,24,Stainless steel,false,Panga Panga,,Bolt-on,5-piece Maple/Walnut,Wizard,,,,African Mahogany,Superstrat,6-in-line,5-way,Japan,Edge Zero II,Ibanez Locking Nut,Gotoh MG-T Locking,The Tone Zone,True Velvet,Air Norton
Ibanez,SA260FM,2016,,6,25.5,25.5,22,Nickel-silver,false,Jatoba,,Bolt-on,Maple,Wizard III,,,42.0,Okoume,Superstrat,6-in-line,5-way,China,T102,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Quantum Humbucker,Resolution Single,Resolution Single
Ibanez,AZ2402,2018,,6,25.5,25.5,24,Stainless steel,false,Roasted Maple,Compound 12-16 in,Bolt-on,Roasted Maple,Oval C,,,,Alder,Superstrat,6-in-line,5-way,Japan,T1802,Oil-Impregnated Bone Nut,Gotoh MG-T Locking,Hyperion H,,Hyperion H
Ibanez,AZ226,2020,,6,25.5,25.5,22,Stainless steel,false,Roasted Maple,,Bolt-on,Roasted Maple,Oval C,,,,Basswood,Superstrat,6-in-line,5-way,Indonesia,T1502,Graph Tech TUSQ Nut,Gotoh MG-T Locking,Hyperion H,Hyperion S,Hyperion H
Ibanez,AZES31,2021,,6,25.0,25.0,22,Nickel-silver,false,Jatoba,,Bolt-on,Maple,Oval C,,,,Poplar,Superstrat,6-in-line,5-way,China,F106,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Quantum Humbucker,Resolution Single,Resolution Single
Ibanez,AZES40,2021,,6,25.0,25.0,22,Nickel-silver,false,Jatoba,,Bolt-on,Maple,Oval C,,,,Poplar,Superstrat,6-in-line,5-way,China,T102,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Quantum Humbucker,Resolution Single,Resolution Single
Ibanez,AZ47P1QM,2021,,7,25.5,25.5,24,Stainless steel,false,Ebony,,Bolt-on,Roasted Maple,Oval C,,,,Basswood,Superstrat,7-in-line,5-way + push-pull,Indonesia,T1872S,Graph Tech TUSQ Nut,Gotoh MG-T Locking 7,Tone Zone S,True Velvet S,Air Norton S7
Ibanez,JEM7V,1993,,6,25.5,25.5,24,Nickel-silver,false,Rosewood,,Bolt-on,5-piece Maple/Walnut,Wizard,,,,Alder,Superstrat,6-in-line,5-way,Japan,Edge Tremolo,Ibanez Locking Nut,Ibanez Die-Cast Tuners,Evolution Humbucker,Evolution Single,Evolution Humbucker
Ibanez,UV777,1991,2011,7,25.5,25.5,24,Nickel-silver,false,Maple,,Bolt-on,Maple,Wizard,,,,Basswood,Superstrat,7-in-line,5-way,Japan,Lo-Pro Edge 7,Ibanez Locking Nut,Ibanez Die-Cast Tuners,Blaze II Humbucker,Blaze II Single,Blaze II Humbucker
Ibanez,IC520,2016,,6,24.75,24.75,24,Nickel-silver,false,Rosewood,,Set-neck,Mahogany,Wizard,,,,Mahogany,Iceman,3+3,3-way toggle,China,Gibraltar Standard II,Ibanez Locking Nut,Ibanez Die-Cast Tuners,The Tone Zone,,Air Norton
Ibanez,AS73,2002,,6,24.7,24.7,22,Nickel-silver,false,Rosewood,,Set-neck,Mahogany,Wizard,,,,Mahogany,Semi-hollow,3+3,3-way toggle,China,ART-1,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Classic Elite,,Classic Elite
Ibanez,AF75,2002,,6,24.7,24.7,20,Nickel-silver,false,Rosewood,,Set-neck,Mahogany,Wizard,,,,Mahogany,Hollowbody,3+3,3-way toggle,China,ART-1,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Artcore Humbucker,,Artcore Humbucker
Ibanez,AS93FM,2018,,6,24.75,24.75,22,Nickel-silver,false,Ebony,,Set-neck,Mahogany/Maple,Wizard,,,,Mahogany,Semi-hollow,3+3,3-way toggle,China,ART-1,Ibanez Plastic Nut,Ibanez Die-Cast Tuners,Super 58 Custom,,Super 58 Custom
